ID,URL,NAME,ADDRESS,CITY,SCHOOL_TYPE,LEVEL_CODE
adccbdb1-3605-4e60-8e4b-6102d564879d,https://educationdestinationasia.com/school/international-academic-school-abu-dhabi,International Academic School Abu Dhabi,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
e8deca70-678a-4071-87a1-0d88b97b04af,https://educationdestinationasia.com/school/al-muna-primary-school,Al Muna Academy,Abu Dhabi,Abu Dhabi,"Preschool/Kindergarten, Primary Schools","k, p"
fd405175-5cd9-485d-97f8-7661297ac1d4,https://educationdestinationasia.com/school/yangon-american-international-school,Yangon American International School,Myanmar,Myanmar,"Preschool/Kindergarten, Primary Schools","k, p"
7c2713e1-c496-414c-9b3d-17e78899b180,https://educationdestinationasia.com/school/springfield-school-pb3,Springfield school PB3 campus,Indonesia,Indonesia,Secondary Schools,s
85a40b31-c91f-477a-9210-8ade577c7773,https://educationdestinationasia.com/school/kids-academy-international-pre-school-sensory,Kids' Academy International Pre-School (Sensory),Bangkok,Bangkok,Preschool/Kindergarten,k
ce2932a6-85e9-4f27-b98f-57049297e852,https://educationdestinationasia.com/school/british-international-academy-geoje,British International Academy Geoje,Busan,Busan,"Pre-University, Preschool/Kindergarten, Primary Schools, Secondary Schools","pu, k, p, s"
11fe8774-9627-44ee-ad63-29766c8e5519,https://educationdestinationasia.com/school/gems-united-indian-school-uis,GEMS United Indian School (UIS),Abu Dhabi,Abu Dhabi,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
3591e941-2f6a-4f51-91ea-046c15143e85,https://educationdestinationasia.com/school/dubai-international-academy,Dubai International Academy,Dubai,Dubai,"Primary Schools, Secondary Schools, Pre-University","p, s, pu"
a5311734-25dd-484a-91f0-9a86e60ea306,https://educationdestinationasia.com/school/westlink-international-school-hanoi,Westlink International School Hanoi,Hanoi,Hanoi,"Primary Schools, Secondary Schools","p, s"
3cc51d6a-cc93-45a5-a00e-c8e8d9a71e56,https://educationdestinationasia.com/school/cardiff-international-school-early-years,Cardiff International School,Doha | United Arab Emirates (UAE),Doha | United Arab Emirates (UAE),"Primary Schools, Preschool/Kindergarten","p, k"
2c89abdb-9f2d-47d5-a984-a7adfc9419d7,https://educationdestinationasia.com/school/lycee-francais-de-singapour,Lycee Francais de Singapour,Singapore,Singapore,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
3fb76f1f-f1dd-4031-b62a-c7a376a98725,https://educationdestinationasia.com/school/yew-chung-international-school-of-beijing,Yew Chung International School of Beijing,Beijing,Beijing,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
ff6ec5b0-e36a-4dd4-9565-d6baa632ac10,https://educationdestinationasia.com/school/doha-international-kindergarten,Doha International Kindergarten,Doha,Doha,Preschool/Kindergarten,k
7fa1bed0-5f82-4721-a128-e0be41f77d60,https://educationdestinationasia.com/school/oxburgh-international-school,Oxburgh International School,"Cheras, Selangor",Cheras,"Primary Schools, Secondary Schools","p, s"
3e525d91-94a8-4283-9971-70189e8144b9,https://educationdestinationasia.com/school/brendon-international-primary-school,Brendon International Primary School,Hanoi,Hanoi,Primary Schools,p
1ac70a7a-9efa-4d4a-81df-f1c6e73f5400,https://educationdestinationasia.com/school/hua-hin-international-school,Hua Hin International School,Thailand,Thailand,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
d58478b1-a2f0-4ff2-9b05-233b836a063c,https://educationdestinationasia.com/school/ajyal-international-school,Ajyal International School,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools","k, p"
87deed1a-693d-4799-bc54-dacb63c7d289,https://educationdestinationasia.com/school/jakarta-intercultural-school-pattimura-campus,Jakarta Intercultural School Pattimura Campus,Jakarta,Jakarta,,
